longitude,latitude,name,religion,addr:street,crime,nearest police chowki,population density,rape,Kidnapping & Abduction_Total,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,district,amenity,target
75.0670769,18.0965752,1.0,1.0,0.0,0.310282404,0.066399849,0.0,0.325,0.2913085,0.356302521,0.331797235,0.157894737,0.284931507,0.327563249,0.375,0.166666667,1.0,1
75.0671979,18.0966805,1.0,1.0,0.0,0.725923244,0.535957393,0.556446369,0.835714286,0.686723973,0.830252101,0.528417819,1.0,1.0,0.66045273,0.949074074,1.0,1.0,1
75.0255781,18.1118483,0.25,1.0,0.5,0.727009413,0.072702635,0.556446369,0.95,0.652340019,0.788235294,0.522273425,0.596491228,0.810958904,0.729693742,1.0,1.0,0.857142857,1
75.0256002,18.112179,0.0625,1.0,0.0,0.310282404,0.069551242,0.0,0.325,0.2913085,0.356302521,0.331797235,0.157894737,0.284931507,0.327563249,0.375,0.166666667,0.571428571,1
75.0260206,18.1086573,0.5,0.5,0.0,0.310282404,0.0,0.0,0.325,0.2913085,0.356302521,0.331797235,0.157894737,0.284931507,0.327563249,0.375,0.166666667,0.714285714,1
75.0271778,18.10857,0.375,0.0,1.0,0.0,0.1325791,0.637860543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,1
75.0270021,18.1100114,0.0,1.0,0.75,0.0,0.406750284,0.355340332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.714285714,1
75.0259161,18.1113307,0.3125,1.0,0.0,0.310282404,0.00809908,0.0,0.325,0.2913085,0.356302521,0.331797235,0.157894737,0.284931507,0.327563249,0.375,0.166666667,0.714285714,1
75.0256563,18.1115159,0.5625,1.0,0.0,0.0,0.621045002,0.355340332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.714285714,1
75.029371,18.1121275,1.0,0.5,0.0,0.0,0.138881886,0.355340332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.714285714,1
75.0269477,18.1150122,0.875,1.0,0.0,0.837798697,1.0,0.539748144,0.846428571,1.0,0.826890756,1.0,0.807017544,0.515068493,0.596537949,0.615740741,0.5,0.571428571,1
75.0269762,18.1157975,0.75,1.0,0.0,1.0,0.119973528,0.699237432,1.0,0.598853868,1.0,0.921658986,0.684210526,0.0,1.0,1.0,0.833333333,0.0,0
75.0251131,18.1205606,0.9375,1.0,0.0,0.837798697,0.561168536,0.539748144,0.846428571,1.0,0.826890756,1.0,0.807017544,0.515068493,0.596537949,0.615740741,0.5,0.571428571,0
75.0242172,18.1209749,0.4375,1.0,0.0,0.310282404,0.009674776,0.0,0.325,0.2913085,0.356302521,0.331797235,0.157894737,0.284931507,0.327563249,0.375,0.166666667,0.571428571,1
75.0248402,18.1209854,0.6875,1.0,0.25,0.310282404,0.03488592,0.0,0.325,0.2913085,0.356302521,0.331797235,0.157894737,0.284931507,0.327563249,0.375,0.166666667,0.571428571,1
75.0282797,18.1170198,0.1875,1.0,0.0,0.310282404,0.022280348,0.0,0.325,0.2913085,0.356302521,0.331797235,0.157894737,0.284931507,0.327563249,0.375,0.166666667,0.142857143,1
75.0258983,18.1206808,0.8125,1.0,0.0,0.310282404,0.066399849,0.0,0.325,0.2913085,0.356302521,0.331797235,0.157894737,0.284931507,0.327563249,0.375,0.166666667,0.571428571,1
75.0257917,18.1210564,0.625,1.0,0.0,1.0,0.454021177,0.699237432,1.0,0.598853868,1.0,0.921658986,0.684210526,0.0,1.0,1.0,0.833333333,0.285714286,0
75.0298679,18.1200229,0.125,1.0,0.0,0.609703114,0.113670742,1.0,0.589285714,0.633237822,0.678991597,0.669738863,0.403508772,0.668493151,0.553928096,0.634259259,0.666666667,0.428571429,1
