,longitude,latitude,amenity,name,religion,addr:street,crime,nearest police chowki,population density,rape,Kidnapping & Abduction_Total,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,district,safety
0,75.0670769,18.0965752,toll_booth,toll_booth,muslim,Bajrang nagar,857.0,2.5,582320.0,91.0,305.0,212.0,54.0,9.0,26.0,123.0,37.0,central,1
1,75.0671979,18.0966805,toll_booth,toll_booth,muslim,Bajrang nagar,2005.0,17.4,2292958.0,234.0,719.0,494.0,86.0,57.0,91.25,248.0,68.0,south west,1
2,75.0255781,18.1118483,post_office,Indapur Post Office,muslim,Kasba,2008.0,2.7,2292958.0,266.0,683.0,469.0,85.0,34.0,74.0,274.0,70.75,south west,1
3,75.0256002,18.112179,hospital,Dr. Kardile Accident and General Hospital,muslim,Bajrang nagar,857.0,2.6,582320.0,91.0,305.0,212.0,54.0,9.0,26.0,123.0,37.0,central,1
4,75.0260206,18.1086573,place_of_worship,Mahalaxmi Temple,hindu,Bajrang nagar,857.0,0.393,582320.0,91.0,305.0,212.0,54.0,9.0,26.0,123.0,37.0,central,1
5,75.0271778,18.10857,place_of_worship,Jetvan Buddha Vihar,buddhist,Savta Mali Nagar,0.0,4.6,2543243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,West,1
6,75.0270021,18.1100114,place_of_worship,Aqsa Masjid,muslim,Qureshi Moholla Road,0.0,13.3,1674714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,gautam buddh,1
7,75.0259161,18.1113307,place_of_worship,JUMA MASJID,muslim,Bajrang nagar,857.0,0.65,582320.0,91.0,305.0,212.0,54.0,9.0,26.0,123.0,37.0,central,1
8,75.0256563,18.1115159,place_of_worship,Mosque,muslim,Bajrang nagar,0.0,20.1,1674714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,gautam buddh,1
9,75.029371,18.1121275,place_of_worship,toll_booth,hindu,Bajrang nagar,0.0,4.8,1674714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,gautam buddh,1
10,75.0269477,18.1150122,hospital,"Sushrut Hospital, Indapur",muslim,Bajrang nagar,2314.0,32.125,2241624.0,237.0,1047.0,492.0,162.75,46.0,47.0,224.0,50.0,north east,1
11,75.0269762,18.1157975,bank,State Bank of India,muslim,Bajrang nagar,2762.0,4.2,2731929.0,280.0,627.0,595.0,150.0,39.0,0.0,375.5,70.75,south,0
12,75.0251131,18.1205606,hospital,Yashodeep Hospital,muslim,Bajrang nagar,2314.0,18.2,2241624.0,237.0,1047.0,492.0,162.75,46.0,47.0,224.0,50.0,north east,0
13,75.0242172,18.1209749,hospital,Magar Accident and Eye Hospital.,muslim,Bajrang nagar,857.0,0.7,582320.0,91.0,305.0,212.0,54.0,9.0,26.0,123.0,37.0,central,1
14,75.0248402,18.1209854,hospital,Raut Hospital,muslim,Kalthan Road,857.0,1.5,582320.0,91.0,305.0,212.0,54.0,9.0,26.0,123.0,37.0,central,1
15,75.0282797,18.1170198,bus_station,Indapur MSRTC Bus Stand,muslim,Bajrang nagar,857.0,1.1,582320.0,91.0,305.0,212.0,54.0,9.0,26.0,123.0,37.0,central,1
16,75.0258983,18.1206808,hospital,"Sub District Hospital, Indapur",muslim,Bajrang nagar,857.0,2.5,582320.0,91.0,305.0,212.0,54.0,9.0,26.0,123.0,37.0,central,1
17,75.0257917,18.1210564,clinic,Ojas Ent and Dental Clinic,muslim,Bajrang nagar,2762.0,14.8,2731929.0,280.0,627.0,595.0,150.0,39.0,0.0,375.5,70.75,south,0
18,75.0298679,18.1200229,college,ITI COLLEGE INDAPUR,muslim,Bajrang nagar,1684.0,4.0,3656539.0,165.0,663.0,404.0,109.0,23.0,61.0,208.0,51.0,north west,1
